name,b'varchar(256)',YES,,,
email,b'varchar(256)',YES,,,
phone,b'varchar(16)',YES,,,
ssn,b'varchar(16)',YES,,,
password,b'varchar(256)',YES,,,
ip,b'varchar(64)',YES,,,
last_login,b'timestamp',YES,,,
user_agent,b'varchar(512)',YES,,,
